Company,Product,Version,Date,Filename,SourceRepo,RelPath,SizeBytes,Hash,ExactDupCount,FuzzyDupCount
Anthropic,official-product,,,ClaudeCodeExplore-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/explore/ClaudeCodeExplore-2-1-12.md,2662,fba253bbbabbcbf1,0,0
Anthropic,official-product,,,ClaudeCodeGuideAgent-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/code_guide/ClaudeCodeGuideAgent-2-1-12.md,5711,adff1ae643825ebc,0,0
Anthropic,official-product,,,ClaudeCodeStatusLine-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/status_line/ClaudeCodeStatusLine-2-1-12.md,5555,6d3704c4138b6d31,0,0
Anthropic,official-product,,,ClaudeCodeCommandExecutionSpecialist-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/command_execution/ClaudeCodeCommandExecutionSpecialist-2-1-12.md,1815,d1480951dd8917b7,0,0
Anthropic,official-product,,,system-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/summarize_coding_conversation/system-2-1-12.md,799,af24b3546bad2e04,0,0
Anthropic,official-product,,,research_subagent.md,chatgpt_system_prompt,prompts/official-product/claude/clauderesearch/research_subagent.md,9107,38550c6b0e2c9b1c,0,0
Anthropic,official-product,,,research_lead_agent.md,chatgpt_system_prompt,prompts/official-product/claude/clauderesearch/research_lead_agent.md,23098,4dd48b0b56313645,0,0
Anthropic,official-product,,,citations_agent.md,chatgpt_system_prompt,prompts/official-product/claude/clauderesearch/citations_agent.md,2869,e300ec62ab212030,0,0
Apple,System,,,System.txt,TheBigPromptLibrary,Xcode/System.txt,4007,3a62ac2756fd97c0,1,0
Apple,PreviewAction,,,PreviewAction.txt,TheBigPromptLibrary,Xcode/PreviewAction.txt,1938,cd149c218f1b20ce,1,0
Atlassian,Atlassian,,20250801,20250801-acli-rovodev-interactive.md,TheBigPromptLibrary,SystemPrompts/Atlassian/20250801-acli-rovodev-interactive.md,4312,912c23689f5d22a6,0,0
Augment,Augment Code,,20250724,20250724-augmentcode.md,TheBigPromptLibrary,SystemPrompts/Augment Code/20250724-augmentcode.md,10267,d11b6c93c32318aa,0,0
Augment,part_a,,,part_a.js,TheBigPromptLibrary,Augment/part_a.js,18411,3d4634c6fe12e200,1,0
Augment,gpt-5-agent-prompts,,,gpt-5-agent-prompts.txt,TheBigPromptLibrary,Augment Code/gpt-5-agent-prompts.txt,15001,5a2c7707aa1c2c41,1,0
Blackbox,Blackbox-Agent,,,Blackbox-Agent.md,TheBigPromptLibrary,Blackbox.ai/Blackbox-Agent.md,90753,cbbcf2750c16459d,1,0
Blackbox,Blackbox-Complete,,,Blackbox-Complete.ts,TheBigPromptLibrary,Blackbox.ai/Blackbox-Complete.ts,5211,bd876c52a01bdf49,1,0
Brave,LEO_Aug-31-2025,,Aug-31-2025,LEO_Aug-31-2025,CL4R1T4S,BRAVE/LEO_Aug-31-2025,2967,33e2722c42a7a8ab,1,0
Brave,Brave,,20251110,20251110-leo.md,TheBigPromptLibrary,SystemPrompts/Brave/20251110-leo.md,2818,c4896afaeecece3c,0,0
ByteDance,Chat Prompt,,,Chat Prompt.txt,TheBigPromptLibrary,Trae/Chat Prompt.txt,7923,f87db1f3ee0f4e89,1,0
ByteDance,Builder Prompt,,,Builder Prompt.txt,TheBigPromptLibrary,Trae/Builder Prompt.txt,18569,daf7e1f6ed67db95,1,0
ByteDance,prompt,,,prompt.py,TheBigPromptLibrary,trae-agent/prompt.py,3769,a9498e1ca37bd42c,1,0
ChatWise,official-product,,,system.md,chatgpt_system_prompt,prompts/official-product/chatwise/system.md,24783,b86e102906f8d175,0,0
